Date,Time,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
12/07/2025,00:00:00,32646,13058,14197,882,36,2,0,0.02987514,0.35252497,1.97642045,2.78362569,2.91545353,2.97880578,2.97880578
12/07/2025,00:00:01,33103,13241,14735,890,36,2,0,0.03029290,0.35745468,2.04290634,2.85786801,2.98931280,3.06030568,3.06030568
12/07/2025,00:00:02,33544,13417,15232,890,35,2,0,0.03069718,0.36222516,2.10452319,2.91906483,3.04897741,3.12544556,3.12544556
12/07/2025,00:00:03,33952,13580,15626,887,35,2,0,0.03106973,0.36662101,2.15399463,2.96656422,3.09583718,3.17774967,3.17774967
12/07/2025,00:00:04,34279,13711,15786,881,35,2,0,0.03136930,0.37015598,2.17586034,2.98232251,3.11172556,3.19911331,3.19911331
12/07/2025,00:00:05,34439,13775,15776,872,35,2,0,0.03151576,0.37188438,2.17640922,2.97488893,3.10429198,3.19495871,3.19495871
12/07/2025,00:00:06,34494,13797,15596,858,35,3,0,0.03156634,0.37248117,2.15648999,2.94239890,3.07077927,3.16472497,3.16472497
12/07/2025,00:00:07,34458,13783,15311,843,35,3,0,0.03153289,0.37208649,2.12346513,2.89541319,3.02200839,3.11923307,3.11923307
12/07/2025,00:00:08,34380,13752,14916,823,34,3,0,0.03146179,0.37124755,2.07746985,2.83106181,2.95395658,3.04790228,3.04790228
12/07/2025,00:00:09,34207,13683,14235,796,32,2,0,0.03130370,0.36938189,1.99764793,2.72645335,2.84436844,2.93175619,2.93175619
12/07/2025,00:00:10,34057,13623,13622,772,31,2,0,0.03116658,0.36776406,1.92589818,2.63263126,2.74646287,2.82837536,2.82837536
12/07/2025,00:00:11,33927,13571,13068,748,29,2,0,0.03104733,0.36635692,1.86116959,2.54650843,2.65459787,2.73106602,2.73106602
12/07/2025,00:00:12,33773,13509,12478,722,27,2,0,0.03090653,0.36469529,1.79206633,2.45358772,2.55363667,2.62354687,2.62354687
12/07/2025,00:00:13,33618,13447,11931,698,25,2,0,0.03076401,0.36301360,1.72773369,2.36653667,2.45944133,2.52495894,2.52495894
12/07/2025,00:00:14,33466,13386,11424,674,23,1,0,0.03062576,0.36138241,1.66816550,2.28515512,2.37180446,2.43296042,2.43296042
12/07/2025,00:00:15,33311,13324,10960,651,23,1,0,0.03048382,0.35970741,1.61342505,2.20953746,2.29376201,2.35163900,2.35163900
12/07/2025,00:00:16,33216,13286,10654,632,22,1,0,0.03039680,0.35868065,1.57741720,2.15649950,2.23893888,2.29353689,2.29353689
12/07/2025,00:00:17,33116,13246,10332,612,22,1,0,0.03030502,0.35759767,1.53941824,2.10004744,2.18031498,2.23163402,2.23163402
12/07/2025,00:00:18,32981,13192,9932,589,21,1,0,0.03018189,0.35614477,1.49221924,2.03155211,2.10965143,2.15660881,2.15660881
12/07/2025,00:00:19,32838,13135,9532,565,21,1,0,0.03005030,0.35459182,1.44492020,1.96250376,2.03843486,2.08103059,2.08103059
12/07/2025,00:00:20,32706,13082,9240,544,20,1,0,0.02992992,0.35317135,1.41011416,1.90795158,1.98222399,2.02154074,2.02154074
12/07/2025,00:00:21,32594,13037,9009,523,20,1,0,0.02982780,0.35196633,1.38250356,1.86198579,1.93459951,1.97063729,1.97063729
12/07/2025,00:00:22,32527,13011,8875,507,19,1,0,0.02976623,0.35123987,1.36638702,1.83113240,1.90246687,1.93630835,1.93630835
12/07/2025,00:00:23,32490,12996,8807,495,19,1,0,0.02973230,0.35083948,1.35825127,1.81175092,1.88219281,1.91603429,1.91603429
12/07/2025,00:00:24,32445,12978,8755,491,19,1,0,0.02969077,0.35034945,1.35179104,1.80157353,1.87124931,1.90292543,1.90292543
12/07/2025,00:00:25,32386,12954,8683,488,19,1,0,0.02963713,0.34971644,1.34295393,1.78957016,1.85847984,1.89015596,1.89015596
12/07/2025,00:00:26,32327,12931,8647,486,18,1,0,0.02958316,0.34907962,1.33824543,1.78366561,1.85206576,1.88374188,1.88374188
12/07/2025,00:00:27,32265,12906,8631,487,18,1,0,0.02952628,0.34840845,1.33565149,1.78139471,1.84954190,1.88121802,1.88121802
12/07/2025,00:00:28,32217,12886,8617,488,18,1,0,0.02948217,0.34788795,1.33357584,1.78093513,1.84882574,1.88050186,1.88050186
12/07/2025,00:00:29,32180,12872,8634,492,18,1,0,0.02944814,0.34748657,1.33510124,1.78562771,1.85351832,1.88519444,1.88519444
12/07/2025,00:00:30,32095,12838,8576,493,18,1,0,0.02937084,0.34657425,1.32760070,1.77880527,1.84618635,1.87786247,1.87786247
12/07/2025,00:00:31,31983,12793,8469,490,18,1,0,0.02926797,0.34536062,1.31418004,1.76276740,1.82976543,1.86144155,1.86144155
12/07/2025,00:00:32,31820,12728,8250,476,18,0,0,0.02911899,0.34360267,1.28733751,1.72345016,1.78955561,1.81903544,1.81903544
12/07/2025,00:00:33,31654,12661,8034,462,18,0,0,0.02896743,0.34181423,1.26083600,1.68408684,1.74929609,1.77769324,1.77769324
12/07/2025,00:00:34,31469,12587,7766,448,17,0,0,0.02879786,0.33981317,1.22820028,1.63823334,1.70255000,1.72983354,1.72983354
12/07/2025,00:00:35,31291,12516,7506,437,17,0,0,0.02863483,0.33788935,1.19645770,1.59669914,1.66012322,1.68524140,1.68524140
12/07/2025,00:00:36,31125,12450,7245,426,17,0,0,0.02848300,0.33609801,1.16484759,1.55545846,1.61798995,1.63982915,1.63982915
12/07/2025,00:00:37,31005,12402,7029,419,17,0,0,0.02837306,0.33480052,1.13883703,1.52266148,1.58493640,1.60677560,1.60677560
12/07/2025,00:00:38,30923,12369,6879,416,17,0,0,0.02829831,0.33391867,1.12086046,1.50174467,1.56465922,1.58649842,1.58649842
12/07/2025,00:00:39,30842,12336,6743,413,17,0,0,0.02822376,0.33303877,1.10436836,1.48260243,1.54628308,1.56812228,1.56812228
12/07/2025,00:00:40,30761,12304,6617,410,17,0,0,0.02814959,0.33216360,1.08914125,1.46466020,1.52885038,1.55068958,1.55068958
12/07/2025,00:00:41,30692,12276,6519,408,17,0,0,0.02808673,0.33142190,1.07714990,1.45079471,1.51562091,1.53746011,1.53746011
12/07/2025,00:00:42,30628,12251,6435,406,18,0,0,0.02802857,0.33073549,1.06684562,1.43874533,1.50421115,1.52605035,1.52605035
12/07/2025,00:00:43,30561,12224,6377,404,18,0,0,0.02796684,0.33000715,1.05945632,1.42970792,1.49568327,1.51752247,1.51752247
12/07/2025,00:00:44,30486,12194,6354,402,18,0,0,0.02789839,0.32919967,1.05605967,1.42434014,1.49082502,1.51266422,1.51266422
12/07/2025,00:00:45,30354,12141,6264,397,18,0,0,0.02777785,0.32777728,1.04428027,1.40768048,1.47403888,1.49587808,1.49587808
12/07/2025,00:00:46,30222,12089,6184,390,18,0,0,0.02765715,0.32635300,1.03375525,1.39143605,1.45702835,1.47886755,1.47886755
12/07/2025,00:00:47,30095,12038,6113,385,17,0,0,0.02754081,0.32498020,1.02424309,1.37662360,1.44144980,1.46217539,1.46217539
12/07/2025,00:00:48,29967,11987,6046,379,17,0,0,0.02742350,0.32359595,1.01516374,1.36243796,1.42662814,1.44299207,1.44299207
12/07/2025,00:00:50,29825,11930,5964,373,17,0,0,0.02729326,0.32205915,1.00430407,1.34608492,1.40950900,1.42587293,1.42587293
12/07/2025,00:00:51,29676,11870,5882,367,17,0,0,0.02715698,0.32045088,0.99329606,1.32948561,1.39227006,1.40863399,1.40863399
12/07/2025,00:00:52,29539,11815,5844,362,17,0,0,0.02703150,0.31897036,0.98752573,1.31912695,1.38127539,1.39763932,1.39763932
12/07/2025,00:00:53,29387,11755,5757,356,17,0,0,0.02689302,0.31733632,0.97590230,1.30230023,1.36393914,1.38030307,1.38030307
12/07/2025,00:00:54,29230,11692,5661,350,16,0,0,0.02674921,0.31563938,0.96317784,1.28369439,1.34469367,1.35669595,1.35669595
12/07/2025,00:00:55,29077,11631,5565,342,16,0,0,0.02660912,0.31398632,0.95057401,1.26423916,1.32459882,1.33660110,1.33660110
12/07/2025,00:00:56,28959,11583,5520,337,16,0,0,0.02650086,0.31270884,0.94411797,1.25257983,1.31242996,1.32443224,1.32443224
12/07/2025,00:00:57,28919,11567,5571,334,16,0,0,0.02646402,0.31227411,0.94960506,1.25557875,1.31491935,1.32692163,1.32692163
12/07/2025,00:00:58,28885,11554,5624,331,16,0,0,0.02643364,0.31191566,0.95531370,1.25902525,1.31836585,1.33036813,1.33036813
12/07/2025,00:00:59,28900,11560,5760,332,16,0,0,0.02644705,0.31207390,0.97100751,0,0,0,0
12/07/2025,00:01:01,29030,11612,5949,331,16,0,0,0.02656640,0.31348201,0.99394953,1.29704705,1.35715375,1.37243500,1.37243500
12/07/2025,00:01:02,29057,11622,5971,329,16,0,0,0.02659047,0.31376610,0.99682291,1.29843429,1.35777489,1.37085985,1.37085985
12/07/2025,00:01:03,29106,11642,6033,327,16,0,0,0.02663539,0.31429616,1.00445830,1.30455061,1.36389121,1.37808978,1.37808978
12/07/2025,00:01:04,29083,11633,6002,323,15,0,0,0.02661461,0.31405113,1.00065860,1.29684067,1.35464906,1.36665134,1.36665134
12/07/2025,00:01:05,29055,11622,5969,319,15,0,0,0.02658902,0.31374894,0.99658361,1.28898446,1.34551721,1.35751949,1.35751949
12/07/2025,00:01:06,29000,11600,5880,314,15,0,0,0.02653844,0.31315214,0.98577519,1.27329578,1.32791327,1.34863886,1.34863886
12/07/2025,00:01:07,28901,11560,5769,309,14,0,0,0.02644747,0.31207870,0.97197770,1.25474798,1.30808983,1.33648698,1.33648698
12/07/2025,00:01:08,28856,11542,5765,310,14,1,0,0.02640682,0.31159916,0.97112653,1.25531889,1.30866074,1.34469852,1.34469852
12/07/2025,00:01:09,28864,11545,5842,314,14,1,0,0.02641402,0.31168402,0.97994051,1.26759105,1.32093290,1.36241501,1.36241501
12/07/2025,00:01:10,28853,11541,5883,317,14,1,0,0.02640368,0.31156198,0.98447990,1.27500661,1.32834846,1.37638852,1.37638852
12/07/2025,00:01:11,28782,11513,5833,318,14,1,0,0.02633921,0.31080122,0.97802357,1.26990739,1.32324924,1.37568189,1.37568189
12/07/2025,00:01:12,28710,11484,5784,320,14,1,0,0.02627303,0.31002042,0.97169270,1.26499859,1.31834044,1.37405206,1.37405206
12/07/2025,00:01:13,28664,11465,5779,323,14,1,0,0.02623143,0.30952946,0.97061198,1.26663207,1.31997392,1.38004720,1.38004720
12/07/2025,00:01:14,28622,11449,5777,326,14,2,0,0.02619282,0.30907378,0.96993417,1.26866938,1.32201123,1.38536348,1.38536348
12/07/2025,00:01:15,28586,11434,5780,328,14,2,0,0.02615976,0.30868384,0.96983911,1.27054546,1.32388731,1.38832224,1.38832224
12/07/2025,00:01:16,28518,11407,5772,325,14,2,0,0.02609732,0.30794693,0.96821344,1.26626964,1.31961149,1.38404642,1.38404642
12/07/2025,00:01:17,28418,11367,5751,322,14,2,0,0.02600609,0.30687061,0.96469734,1.26003934,1.31223203,1.37666696,1.37666696
12/07/2025,00:01:18,28326,11330,5746,323,14,2,0,0.02592191,0.30587723,0.96318295,1.25959105,1.31089116,1.37532609,1.37532609
12/07/2025,00:01:19,28238,11295,5749,325,14,2,0,0.02584089,0.30492104,0.96252564,1.26035581,1.31165592,1.37609085,1.37609085
12/07/2025,00:01:20,28183,11273,5809,332,14,2,0,0.02579064,0.30432806,0.96888850,1.27334312,1.32591887,1.39143648,1.39143648
12/07/2025,00:01:21,28189,11275,6075,344,15,2,0,0.02579645,0.30439670,0.99936566,1.31445289,1.36945343,1.43497104,1.43497104
12/07/2025,00:01:22,28198,11279,6375,355,15,2,0,0.02580460,0.30449298,1.03372001,1.35927787,1.41619367,1.48062860,1.48062860
12/07/2025,00:01:23,28183,11273,6617,365,16,2,0,0.02579070,0.30432901,1.06130666,1.39575111,1.45394255,1.51729480,1.51729480
12/07/2025,00:01:24,28138,11255,6753,373,16,2,0,0.02574992,0.30384759,1.07628806,1.41806891,1.47740951,1.53964815,1.53964815
12/07/2025,00:01:25,28067,11227,6812,378,16,1,0,0.02568512,0.30308300,1.08232981,1.42905497,1.48839557,1.54846885,1.54846885
12/07/2025,00:01:26,27991,11196,6849,380,16,1,0,0.02561474,0.30225263,1.08571650,1.43366973,1.49301033,1.55088732,1.55088732
12/07/2025,00:01:27,27919,11167,6892,381,15,1,0,0.02554972,0.30148522,1.08990953,1.43883186,1.49664025,1.55343455,1.55343455
12/07/2025,00:01:28,27904,11161,7073,382,16,1,0,0.02553588,0.30132217,1.11046450,1.46013081,1.52049047,1.57620209,1.57620209
12/07/2025,00:01:29,27836,11134,7064,378,17,1,0,0.02547351,0.30058619,1.10861763,1.45527782,1.51691673,1.57151474,1.57151474
12/07/2025,00:01:30,27752,11101,6984,375,17,1,0,0.02539660,0.29967864,1.09853671,1.44241772,1.50507569,1.55639473,1.55639473
12/07/2025,00:01:31,27697,11079,6967,377,17,1,0,0.02534644,0.29908661,1.09609465,1.44162377,1.50555738,1.55579374,1.55579374
12/07/2025,00:01:32,27646,11058,6956,379,17,1,0,0.02529981,0.29853651,1.09421154,1.44161571,1.50657200,1.55572568,1.55572568
12/07/2025,00:01:33,27602,11041,6945,381,18,1,0,0.02525925,0.29805796,1.09247272,1.44178305,1.50788850,1.55704218,1.55704218
12/07/2025,00:01:34,27558,11023,6935,383,18,1,0,0.02521912,0.29758416,1.09089204,1.44191545,1.50891348,1.55587086,1.55587086
12/07/2025,00:01:35,27509,11003,6920,385,18,1,0,0.02517442,0.29705694,1.08866029,1.44126683,1.50915744,1.55503214,1.55503214
12/07/2025,00:01:36,27409,10963,6762,382,18,1,0,0.02508232,0.29597013,1.06944874,1.41943808,1.48694564,1.53062405,1.53062405
12/07/2025,00:01:37,27329,10931,6616,378,18,1,0,0.02500928,0.29510832,1.05193647,1.39875863,1.46524351,1.50564294,1.50564294
12/07/2025,00:01:38,27240,10896,6462,373,18,1,0,0.02492794,0.29414833,1.03329211,1.37552502,1.44111732,1.47823778,1.47823778
12/07/2025,00:01:39,27147,10859,6302,366,18,1,0,0.02484285,0.29314446,1.01408676,1.34953325,1.41487259,1.44982769,1.44982769
12/07/2025,00:01:40,27069,10827,6180,360,18,1,0,0.02477159,0.29230360,0.99926147,1.32950467,1.39484401,1.42868549,1.42868549
12/07/2025,00:01:41,26992,10797,6066,355,18,1,0,0.02470098,0.29147039,0.98540522,1.31067208,1.37601142,1.40768754,1.40768754
12/07/2025,00:01:42,26915,10766,5961,350,18,1,0,0.02463086,0.29064290,0.97251619,1.29287076,1.35821010,1.38988622,1.38988622
12/07/2025,00:01:43,26837,10735,5854,344,18,0,0,0.02455953,0.28980111,0.95946324,1.27500253,1.34034187,1.36982170,1.36982170
12/07/2025,00:01:44,26723,10689,5699,338,18,0,0,0.02445457,0.28856271,0.94046773,1.25035167,1.31569101,1.34517084,1.34517084
12/07/2025,00:01:45,26556,10622,5481,331,18,0,0,0.02430229,0.28676569,0.91380826,1.21700278,1.28221203,1.30949557,1.30949557
12/07/2025,00:01:46,26408,10563,5322,325,17,0,0,0.02416640,0.28516218,0.89400327,1.19160741,1.25656370,1.28384724,1.28384724
12/07/2025,00:01:47,26263,10505,5193,318,17,0,0,0.02403390,0.28359869,0.87764346,1.16907430,1.23339096,1.25850914,1.25850914
12/07/2025,00:01:48,26119,10447,5075,311,17,0,0,0.02390253,0.28204858,0.86262605,1.14756147,1.21098555,1.23282475,1.23282475
12/07/2025,00:01:49,26040,10416,5097,307,17,0,0,0.02382982,0.28119058,0.86428458,1.14605282,1.20909385,1.23093305,1.23093305
12/07/2025,00:01:50,25994,10397,5191,306,17,0,0,0.02378781,0.28069484,0.87451748,1.15463762,1.21729559,1.23913479,1.23913479
12/07/2025,00:01:51,26057,10422,5464,308,17,0,0,0.02384517,0.28137170,0.90641887,1.18909215,1.25225966,1.27518154,1.27518154
12/07/2025,00:01:52,26171,10468,5806,319,17,0,0,0.02395010,0.28261007,0.94672613,1.23877100,1.30359720,1.33088074,1.33088074
12/07/2025,00:01:53,26317,10526,6185,332,18,0,0,0.02408318,0.28418022,0.99165510,1.29604566,1.36291360,1.39239343,1.39239343
12/07/2025,00:01:54,26474,10589,6554,346,18,1,0,0.02422699,0.28587718,1.03560010,1.35256146,1.42121818,1.45289430,1.45289430
12/07/2025,00:01:55,26627,10650,6878,359,19,1,0,0.02436693,0.28752837,1.07432478,1.40343691,1.47413537,1.50797685,1.50797685
12/07/2025,00:01:56,26763,10705,7149,371,19,1,0,0.02449157,0.28899933,1.10679803,1.44676880,1.51899947,1.55284095,1.55284095
